"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Sep 13 04:57:05 UTC 2026","Sun Sep 13 04:57:31 UTC 2026","25219","","First feature - this is to show various types of scenario result including undefined, failure, pass","","Sample test to return failure the point is to get a failed log so we can have various values reflected","","Sample test to return failure the point is to get a failed log so we can have various values reflected",""
"passed","Sun Sep 13 04:57:31 UTC 2026","Sun Sep 13 04:58:38 UTC 2026","67349","","Second feature search code but then read text in another element","","Go home then search hbc","","Go home then search hbc",""
"passed","Sun Sep 13 04:56:57 UTC 2026","Sun Sep 13 04:57:05 UTC 2026","8267","","First feature - this is to show various types of scenario result including undefined, failure, pass","","Open the html log of the above scenario then check around","","Open the html log of the above scenario then check around",""
"passed","Sun Sep 13 04:55:47 UTC 2026","Sun Sep 13 04:56:57 UTC 2026","69573","","First feature - this is to show various types of scenario result including undefined, failure, pass","","Go home then search hbc","","Go home then search hbc",""
