"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","First feature - this is to show various types of scenario result including undefined, failure, pass","Sample test to return failure the point is to get a failed log so we can have various values reflected","1","0","0","0","0"
"","First feature - this is to show various types of scenario result including undefined, failure, pass","Go home then search hbc","0","0","1","0","0"
"","First feature with additional stuff on another page","Go home then search hbc","0","0","1","0","0"
"","First feature - this is to show various types of scenario result including undefined, failure, pass","Open the html log of the above scenario then check around","0","0","1","0","0"
